Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas301             Pavarde301                      4         4         1         7         5         8         6         5        10         8         5        10         7        10         1         4
Vardas302             Pavarde302                     10        10         7         7         6         2         1         8         2         8         8         1         8         1         9         7
Vardas303             Pavarde303                      3         9         7         3         5        10         5         8         2         8         7         3         6         1         5         3
Vardas304             Pavarde304                      3        10         9         3         7         1         4        10         7        10         4         1         4         9         8         1
Vardas305             Pavarde305                     10         5         4         3         2         4         8         5         1         8         2         7         2        10         4         4
Vardas306             Pavarde306                      3         3         3         2         9         3         4         5         9         8        10         5         7         5         5         8
Vardas307             Pavarde307                      1        10         2         9         4        10         5         8         3         9         7        10         4         1         2         1
Vardas308             Pavarde308                      3         9         2         4         6         9        10         4         9         7        10         3         7        10        10         9
Vardas309             Pavarde309                      7         3         2         8         5         8         9        10         3         2         7         4         4         1         9        10
Vardas310             Pavarde310                      4         6         7        10         1         6         4         5         8         9         8         4         8         7         7        10
Vardas311             Pavarde311                      7         1         1         3         3         6         9        10         7         2         2         1         7         6         3         5
Vardas312             Pavarde312                      9        10         7         5        10         2         4         9         1         3         1         6         2        10         1         7
Vardas313             Pavarde313                      2         7         1         2         2         9         3         8         7         4         7         8         4         2         7         6
Vardas314             Pavarde314                      1         5         7         4         8         1         6         7         3         9         8        10         2        10         3         7
Vardas315             Pavarde315                      2         7         3         1         8         2        10         4         6         7        10         7        10         4         5         8
Vardas316             Pavarde316                     10         2         1         6         8         5         9        10         8         7         6         2         2         5         8         1
Vardas317             Pavarde317                      9         3         9         2         8         2         4         4         7         8         1         6         9         4         7        10
Vardas318             Pavarde318                      7         2         1         4         6         9         9         2         4         8         7         5         6         7        10         4
Vardas319             Pavarde319                      1         4         2         8         5         7         5         3         4        10         2         2         8         3         7         5
Vardas320             Pavarde320                      8         7         8         3         2         1        10         5         9         6        10         3         4         6         5         4
Vardas321             Pavarde321                      5         2         9         2         1         4         1         3         2         4         6         6         2         8         5         4
Vardas322             Pavarde322                      2         5         9         3         4         1         1         1         7         5         3         4         4         6         1         5
Vardas323             Pavarde323                      2         2         1         1         4         6         3        10         7         8         2         6         2         3         7         6
Vardas324             Pavarde324                      2         5         3         1         4         1        10         9         6         7         5        10         7        10         1         9
Vardas325             Pavarde325                     10         9         6         9         3        10         2         2         7         3         1         6         1         1        10         7
Vardas326             Pavarde326                      6        10         2        10         5         8         3         9         6         6         4         6         2         7         9         9
Vardas327             Pavarde327                      1         1         4         9         7         6         1         7         6         9         2         2        10         8         8         4
Vardas328             Pavarde328                      1        10         3         2         2         6         8         8         3         9         7        10         1         7         5         5
Vardas329             Pavarde329                     10         4         2         5         5         5         1         7         5         8         8         2         8         5         9         8
Vardas330             Pavarde330                      1         3         3         1         1         8         6         7         6        10         6         2         4         2         7        10
Vardas331             Pavarde331                      6         8         8         6         5         3         2         9         6         7         3         2        10         1         5         6
Vardas332             Pavarde332                      2         7         1         1         6         1         6         3         7         6         9         6        10         8         3         6
Vardas333             Pavarde333                     10         9         8         8         8         5         1        10         6         9         5         4         6         7         6         4
Vardas334             Pavarde334                     10         7         4         6         8         4         3         7         6        10         4         3         5         7         5         2
Vardas335             Pavarde335                      5         1         8         6         4         2         2         5         4         6         3         5         6         9        10         1
Vardas336             Pavarde336                      6         1         1         2         4         9         6        10         1         2         5         3         3         2         4         8
Vardas337             Pavarde337                      6         1         7        10         1         6         3         5         6         7         3         4         7         7         9         3
Vardas338             Pavarde338                      2         7         1         5         6         7         3         6         3         1         1         8         8        10         4        10
Vardas339             Pavarde339                      4        10         5         2         6         6         2         4        10         9        10         9         9         9         7         4
Vardas340             Pavarde340                      2         4         9         9         3         2        10        10         9        10         3         3         2         2         7        10
Vardas341             Pavarde341                      7         3         4         8         3         1         8         7         2        10         8         1         6         4         1         6
Vardas342             Pavarde342                      3         6         3         8         2         9         1         7         2        10         1         5         7         2         2         7
Vardas343             Pavarde343                      3         2         1         4         8         5        10         2         5         2         3         4         1         1         7         1
Vardas344             Pavarde344                      1         1         9         6         4         9         2         5         1         2         9         3         1         9         6        10
Vardas345             Pavarde345                      8         2         9         4         8        10         4        10         4         4         4         1         8         5         9         3
Vardas346             Pavarde346                      8         8         1         5         2         5        10         6         2         4         6         4         2         7         7         5
Vardas347             Pavarde347                      7         7         3         9         3         2         3         9         9         2         6         8         1         6         7         5
Vardas348             Pavarde348                      3         9         6         4         8         8         9        10         8         1         9         2         6         4        10        10
Vardas349             Pavarde349                      7         4         5         1         7         7        10        10         7         3        10         5         5        10         9         6
Vardas350             Pavarde350                      8         6         6         2         1        10         4         9         7         9         6         1         3         5         6         3
Vardas351             Pavarde351                      1         1         8        10         4         5         2        10         9         8         6         7         3         2         6         6
Vardas352             Pavarde352                      6         3         1         7         6         3         6         6         4        10        10         9         7         1         7         7
Vardas353             Pavarde353                      9         9         1         2         6         3         5        10        10         3         1         6         5         6         7         9
Vardas354             Pavarde354                      4         1         3         6         2         7         4         2         9         3         5         7         6         8         1         2
Vardas355             Pavarde355                      4         7         4         7         4         2        10         9         6         7         8         4         3         3         4         6
Vardas356             Pavarde356                      5         7        10         7         4         3         1         8         7         5         4         7         3        10         4         1
Vardas357             Pavarde357                      7         6         9         5         2         4         3        10         3         4         6         8         9         3         9         4
Vardas358             Pavarde358                      3         2         7         1         4         3         3         6         3         8         8         1         7        10        10         5
Vardas359             Pavarde359                      5         9         8         7         8         6         8         1         5        10         6         3        10         8         3        10
Vardas360             Pavarde360                      4         2         4         5         1         8        10         8         6         2         9        10         2         1         8         3
Vardas361             Pavarde361                      5         8         6         2         8         7         4        10         5        10         2         5         1         3         4         9
Vardas362             Pavarde362                      7         8         1        10         2         7        10         2         3         1         4         2         1         8         1         4
Vardas363             Pavarde363                      7         2         5         7         6         2         8         1         2         2         3        10         2         1         6         9
Vardas364             Pavarde364                      5         9         4         5         9         2         7         2         8         3         2         8         8         3         3         9
Vardas365             Pavarde365                      9         7         6         6         2         5         8         8         8         1         1         1         1         3         1         1
Vardas366             Pavarde366                      3         1         3         7         2         2         6         6         8         3         2        10         3         9         7         3
Vardas367             Pavarde367                      1         4         1         5         1         4         5         2         2         1         6         3         1         3         4         1
Vardas368             Pavarde368                      1         8         5         5         6         4         6         1         8         6         3         4         8         7         3         6
Vardas369             Pavarde369                      4         2         2         1         7         1        10         8         4         3        10         4         6         5         9         2
Vardas370             Pavarde370                      5         8         6         9         7        10         4        10         4         1         7         5        10         9         3         1
Vardas371             Pavarde371                      8         5         9         6         5         4        10         7        10         5         2         4         3         2         6         2
Vardas372             Pavarde372                      5         2         8         9         8         6        10         2         5         1         1         7         1         8         2         2
Vardas373             Pavarde373                      4         6         3         6         8         9         2         8         2         6         3        10         8         1        10         4
Vardas374             Pavarde374                      7         5         3         4         5         7         4        10         7         8         5         6         3         7         6         1
Vardas375             Pavarde375                      1         4         2         4         7         3         5         5        10         4         2         7         8         1         8         4
Vardas376             Pavarde376                      8         1         6         7         4         7         7         1         8         8         8        10         2         2        10         6
Vardas377             Pavarde377                      4         3         7         3         1         9         2         4        10         1        10         7         7         1         6         9
Vardas378             Pavarde378                      4         5         9         2         5         5        10         2         9         4         7         9         8         7         8         3
Vardas379             Pavarde379                      3         4         9         1         5         6         1         2         7        10         3         6         4         1         4         1
Vardas380             Pavarde380                      5        10         9         7         8        10         6         1         5         6         6        10         9         4         5         2
Vardas381             Pavarde381                      3         3         6         1         4         7         7         3         9         6         7         8         7         6        10         4
Vardas382             Pavarde382                     10         2        10         3         5         9         6        10         1        10         7         5         8         1         6         3
Vardas383             Pavarde383                      4         8         8         1         1         3         7         6         9         9         8         7         3         7         7         5
Vardas384             Pavarde384                     10         5         1         3         3         4         5         6         4         6         4         5         3         3         1        10
Vardas385             Pavarde385                     10         3         4         3         2         7        10         6         7         5         4         7         9         6         3        10
Vardas386             Pavarde386                      3         2         3         6         8         7         6         4         9         3         1        10         9         2         8         3
Vardas387             Pavarde387                      2        10         9        10         8         7         9         1        10        10         5         9         7         5         3         8
